"14";"client";"hybrid";"9.7-LibOQS";"RSA(3072)+SPHINCS(2128)";"1001";"75983278,798200";"303572,242349";"75923278,000000";"76548286,000000";"76718474,000000";"75319139,000000";"77000991,000000";"184307090,234800";"172723,501206";"184316832,000000";"184588366,000000";"184667649,000000";"183777285,000000";"184747246,000000";"200045,879100";"2580,674453";"199965,000000";"204292,000000";"206238,000000";"192003,000000";"208010,000000";"2,425664";"0,009478";"2,427801";"2,437709";"2,441159";"2,395144";"2,444413";"0,002633";"0,000035";"0,002633";"0,002693";"0,002714";"0,002529";"0,002740"
"14";"server";"hybrid";"9.7-LibOQS";"RSA(3072)+SPHINCS(2128)";"1001";"133210323,008000";"627772,032379";"133193225,000000";"134240317,000000";"134716054,000000";"131139196,000000";"136496364,000000";"276425934,881100";"314859,025813";"276404268,000000";"276985979,000000";"277219027,000000";"275425322,000000";"277713491,000000";"419530,293700";"3082,264558";"419427,000000";"424569,000000";"427588,000000";"406162,000000";"431364,000000";"2,075152";"0,009490";"2,075206";"2,090071";"2,096227";"2,030173";"2,105146";"0,003149";"0,000027";"0,003149";"0,003193";"0,003216";"0,003039";"0,003254"
"15";"client";"pqc";"9.7-LibOQS";"FALCON(512)";"1001";"20592010,065900";"192606,135753";"20616001,000000";"20874480,000000";"21026545,000000";"19766766,000000";"21540338,000000";"27997050,535500";"89071,309533";"28007064,000000";"28112385,000000";"28131003,000000";"27856162,000000";"28195461,000000";"105082,423600";"402,680333";"105088,000000";"105714,000000";"106040,000000";"103477,000000";"107604,000000";"1,359703";"0,010813";"1,360440";"1,375002";"1,378917";"1,295766";"1,417054";"0,005103";"0,000048";"0,005099";"0,005178";"0,005194";"0,004875";"0,005307"
"15";"server";"pqc";"9.7-LibOQS";"FALCON(512)";"1001";"64196387,244800";"519433,059202";"64220365,000000";"64962701,000000";"65702074,000000";"60634725,000000";"66027779,000000";"82519900,113900";"137945,022303";"82488651,000000";"82823052,000000";"83017280,000000";"82302924,000000";"83294632,000000";"302963,527500";"778,709045";"302926,000000";"304218,000000";"305070,000000";"299911,000000";"305761,000000";"1,285510";"0,010246";"1,285082";"1,301869";"1,310723";"1,249913";"1,362225";"0,004720";"0,000040";"0,004718";"0,004785";"0,004819";"0,004586";"0,004991"
"16";"client";"pqc";"9.7-LibOQS";"FALCON(1024)";"1001";"22383840,585400";"171363,192613";"22370157,000000";"22652008,000000";"22871626,000000";"21297488,000000";"24125262,000000";"31590233,619400";"90536,489860";"31626844,000000";"31705370,000000";"31730564,000000";"31436581,000000";"31785791,000000";"110372,803200";"527,363958";"110399,000000";"111095,000000";"111632,000000";"107267,000000";"112119,000000";"1,411373";"0,010831";"1,411886";"1,425774";"1,433034";"1,307812";"1,483137";"0,004931";"0,000040";"0,004936";"0,004980";"0,005019";"0,004577";"0,005193"
"16";"server";"pqc";"9.7-LibOQS";"FALCON(1024)";"1001";"66592660,180800";"549335,835149";"66640944,000000";"67412799,000000";"67921087,000000";"64234686,000000";"68980081,000000";"87482850,709300";"132935,140478";"87456170,000000";"87761455,000000";"87973098,000000";"87276601,000000";"88305409,000000";"313859,317700";"856,971567";"313830,000000";"315257,000000";"315791,000000";"311036,000000";"317743,000000";"1,313788";"0,010771";"1,313218";"1,331050";"1,341528";"1,268529";"1,361384";"0,004713";"0,000040";"0,004713";"0,004781";"0,004817";"0,004567";"0,004887"
"17";"client";"pqc";"9.7-LibOQS";"SPHINCS(2128)";"1001";"50300703,889100";"326859,380396";"50235042,000000";"50909894,000000";"51131383,000000";"49627277,000000";"51462821,000000";"102074630,584400";"134835,137230";"102073733,000000";"102290370,000000";"102370306,000000";"101713762,000000";"102457332,000000";"104577,446600";"498,696238";"104574,000000";"105387,000000";"105949,000000";"102670,000000";"106593,000000";"2,029368";"0,012479";"2,032628";"2,045999";"2,049547";"1,985822";"2,053453";"0,002079";"0,000015";"0,002081";"0,002101";"0,002112";"0,002021";"0,002126"
"17";"server";"pqc";"9.7-LibOQS";"SPHINCS(2128)";"1001";"93317918,998000";"632879,385744";"93315504,000000";"94371262,000000";"94873289,000000";"90305874,000000";"96522954,000000";"155578065,129900";"169342,922467";"155555636,000000";"155892746,000000";"156128016,000000";"155194795,000000";"156558968,000000";"298156,188800";"826,332248";"298169,000000";"299587,000000";"300116,000000";"295576,000000";"301336,000000";"1,667257";"0,011054";"1,667225";"1,684372";"1,691740";"1,611772";"1,723204";"0,003195";"0,000023";"0,003195";"0,003233";"0,003246";"0,003088";"0,003304"
"18";"client";"pqc";"9.7-LibOQS";"SPHINCS(2256)";"1001";"127001034,342700";"593206,854599";"126918966,000000";"127998344,000000";"128580188,000000";"125800115,000000";"128938437,000000";"294786387,509500";"152489,748472";"294784748,000000";"295030624,000000";"295123648,000000";"294248914,000000";"295279892,000000";"111540,576400";"731,092724";"111483,000000";"112662,000000";"114394,000000";"109031,000000";"115638,000000";"2,321183";"0,010615";"2,322831";"2,335904";"2,338652";"2,287173";"2,342632";"0,000878";"0,000007";"0,000878";"0,000888";"0,000902";"0,000860";"0,000909"
"18";"server";"pqc";"9.7-LibOQS";"SPHINCS(2256)";"1001";"169627260,942100";"753671,166214";"169594519,000000";"170928177,000000";"171513908,000000";"166655524,000000";"172519205,000000";"348506154,166800";"184797,399361";"348481978,000000";"348865257,000000";"349093479,000000";"348065723,000000";"349398222,000000";"305952,078900";"963,516755";"305866,000000";"307607,000000";"308910,000000";"301353,000000";"310551,000000";"2,054581";"0,009050";"2,054766";"2,068032";"2,074831";"2,019923";"2,092040";"0,001804";"0,000010";"0,001803";"0,001820";"0,001829";"0,001769";"0,001842"
"19";"client";"pqc";"9.7-LibOQS";"ML-DSA(44)";"1001";"20263958,855100";"235795,416341";"20227424,000000";"20710935,000000";"20960158,000000";"19655274,000000";"21397731,000000";"27394584,215800";"388769,252193";"27299323,000000";"28159465,000000";"28777672,000000";"26928505,000000";"29595627,000000";"104017,330700";"479,548479";"104039,000000";"104738,000000";"105033,000000";"101204,000000";"105733,000000";"1,351899";"0,012178";"1,351757";"1,372521";"1,382439";"1,290669";"1,407183";"0,005134";"0,000056";"0,005140";"0,005214";"0,005251";"0,004881";"0,005278"
