iteration,cycles,instructions,cache-misses,branch-misses,page-faults,context-switches,cpu-migrations
137,115405843,179689435,214670,547053,2493,63,1
138,111234566,179027154,215874,551964,2494,65,5
139,112999010,179919146,203981,542762,2501,63,6
140,112812745,179859269,215418,549027,2498,63,4
141,120187961,179861423,207161,559658,2499,64,1
142,114471477,179946843,204908,551300,2503,64,6
143,112867853,179512832,217100,550935,2496,62,8
144,114739373,179444559,205433,548220,2501,66,7
145,116470989,179507235,206250,550538,2493,68,6
146,125107841,179856503,227947,543889,2519,63,3
147,112085102,179797885,204923,538367,2496,67,7
148,113289558,179249234,220316,541213,2495,63,1
149,115557671,179867520,218233,551972,2502,63,8
150,115334797,179951971,210484,559055,2505,66,4
151,114392971,179666025,211285,552055,2504,67,3
152,114947624,179369004,216495,544078,2498,66,3
153,114506095,179752384,227462,536358,2521,62,3
154,111757916,179562762,210172,559354,2496,62,5
155,116235726,179943870,214073,544365,2536,68,5
156,111774239,179423847,197571,545869,2497,65,7
157,115836065,178852390,221756,546239,2493,66,6
158,120209288,179499596,238695,550207,2496,61,7
159,118949709,179587877,216362,531227,2492,63,6
160,115198107,179364839,210291,537321,2495,68,4
161,113491662,179490620,212184,552727,2496,64,8
162,116321917,179814906,218306,549073,2498,63,3
163,117823154,179959447,221688,560699,2493,68,4
164,116399029,180207039,228632,556216,2525,65,4
165,124671320,179510492,248559,552065,2494,67,2
166,115829132,179977247,238085,545736,2493,64,7
167,114800716,179524920,215694,554629,2503,65,0
168,113806948,179898560,215919,554118,2510,66,1
169,117835327,179988450,233075,546620,2501,64,4
170,116166699,179734384,233749,548433,2503,65,2
171,115808986,179537748,231345,553647,2503,63,9
172,112091769,179698912,206898,543279,2491,63,3
173,114487221,179990347,218657,557010,2521,67,6
174,117064872,179860566,218219,546139,2514,65,2
175,115262878,180155797,213814,547390,2493,64,4
176,122716938,180311762,213834,566969,2522,68,1
177,113590357,179364796,213279,546459,2491,69,5
178,112351116,179139506,211410,529418,2491,64,2
179,113644348,179457777,213317,547685,2501,69,4
180,121735193,180294529,252151,552804,2526,63,1
181,121629913,179762026,244945,552460,2528,70,3
182,117882195,179735471,234194,548207,2518,67,5
183,117237157,179512907,214293,550954,2495,66,4
184,117707703,179952141,226384,544371,2527,65,2
185,112300896,179804170,236419,546606,2507,68,1
186,114782112,179910962,236777,561846,2513,65,2
187,114159511,179742251,216043,551654,2492,68,4
188,113968704,179355478,213949,541211,2503,66,7
189,124360413,179926171,223196,550863,2500,63,2
190,116251165,179369343,216178,560925,2495,65,5
191,121018756,180645973,240797,563055,2528,67,3
192,119061310,179905539,246010,548504,2509,65,7
193,119369224,180555864,231514,555812,2520,66,6
194,120492672,179745298,223285,548396,2496,67,6
195,115111981,179665166,220004,548231,2494,66,7
196,116335234,179982029,230991,547850,2512,64,3
197,115252508,180205396,244411,549807,2528,65,4
198,118201856,180137050,244587,548014,2516,67,5
199,116689592,179308551,216316,552157,2502,65,7
200,115518313,179695223,210684,545028,2517,67,7
201,114692440,180029931,212710,554290,2492,66,5
202,118873494,179356620,220309,553357,2489,67,6
203,113231799,179535405,217600,547340,2495,65,0
204,118494372,180074193,225638,553029,2500,64,5
205,115297455,178911160,224895,551234,2497,62,9
206,120620014,179966313,225455,555319,2497,67,6
207,117393854,179756259,212381,545462,2513,66,5
208,112862995,179958253,225320,545036,2529,68,5
209,115031422,179806875,215437,551194,2505,68,6
210,115672639,179353019,213416,542647,2495,65,6
211,115676727,179970787,218268,550087,2490,68,7
212,116431397,179820634,207655,549855,2503,66,4
213,116570284,179694116,225370,544520,2508,69,6
214,118850431,179870712,217447,551775,2500,64,2
215,116534679,179460862,226744,557417,2503,63,2
216,113196649,179415476,215567,545288,2497,65,1
217,113889870,180004103,211300,543050,2519,70,7
218,116996122,180089868,215673,547218,2518,69,4
219,111752864,180087601,209765,548001,2507,66,7
220,118600353,180038503,212186,548057,2507,67,3
221,117512427,179454421,215744,562057,2488,69,1
222,116992562,179886580,216495,556399,2499,63,4
223,121669992,180025323,213168,561872,2503,69,7
224,119310029,179430295,215002,540837,2492,65,0
225,113021712,180076469,216165,546898,2530,67,5
226,126286265,180086539,246829,554939,2532,66,10
227,115256659,179889343,232504,543378,2500,62,3
228,116950015,179930781,214731,558963,2523,69,5
229,117922827,179695961,227399,545986,2499,64,5
230,113087420,179549107,208541,535341,2496,66,1
231,116647495,179273695,218701,545744,2513,68,7
232,122571964,179795097,245331,556924,2501,72,5
233,120411111,180154137,243145,561391,2525,65,2
