test_run_id	role	test_type	openssh_branch	key_label	n_rows	cycles_avg	cycles_std	cycles_p50	cycles_p95	cycles_p99	cycles_min	cycles_max	instr_avg	instr_std	instr_p50	instr_p95	instr_p99	instr_min	instr_max	br_avg	br_std	br_p50	br_p95	br_p99	br_min	br_max	ipc_avg	ipc_std	ipc_p50	ipc_p95	ipc_p99	ipc_min	ipc_max	bpc_avg	bpc_std	bpc_p50	bpc_p95	bpc_p99	bpc_min	bpc_max
14	server	hybrid	9.7-LibOQS	RSA(3072)+SPHINCS(2128)	1001	133210323.008	627772.0323791493	133193225	134240317	134716054	131139196	136496364	276425934.8811	314859.0258134213	276404268	276985979	277219027	275425322	277713491	419530.2937	3082.264558023909	419427	424569	427588	406162	431364	2.0751523083946086	0.009490275744313787	2.07520644	2.090071005	2.096226699	2.030173485	2.105146443	0.0031494469870129863	0.000026895793702860633	0.003149024	0.003193371	0.003216475	0.00303929	0.003253754
15	client	pqc	9.7-LibOQS	FALCON(512)	1001	20592010.0659	192606.13575349964	20616001	20874480	21026545	19766766	21540338	27997050.5355	89071.30953299718	28007064	28112385	28131003	27856162	28195461	105082.4236	402.68033277476803	105088	105714	106040	103477	107604	1.359703036565434	0.010812530945659747	1.360440484	1.375002087	1.378916955	1.295766111	1.417054362	0.0051034741728271755	0.000047550133592673426	0.00509918	0.005177974	0.005194463	0.004875178	0.005306583
15	server	pqc	9.7-LibOQS	FALCON(512)	1001	64196387.2448	519433.05920220667	64220365	64962701	65702074	60634725	66027779	82519900.1139	137945.02230277084	82488651	82823052	83017280	82302924	83294632	302963.5275	778.7090454685458	302926	304218	305070	299911	305761	1.2855100511988005	0.01024561344498471	1.285081983	1.301868665	1.310722898	1.249913216	1.362225144	0.004719628555444554	0.00003969374315182651	0.004718206	0.004784567	0.004819197	0.004585805	0.004990853
16	client	pqc	9.7-LibOQS	FALCON(1024)	1001	22383840.5854	171363.19261281053	22370157	22652008	22871626	21297488	24125262	31590233.6194	90536.48985962488	31626844	31705370	31730564	31436581	31785791	110372.8032	527.3639580306562	110399	111095	111632	107267	112119	1.4113734178111872	0.010830694133595617	1.411885731	1.425773567	1.433034415	1.307812076	1.483136931	0.004931165261738256	0.00004014878690704631	0.004935945	0.004979963	0.005018687	0.004577483	0.005193241
16	server	pqc	9.7-LibOQS	FALCON(1024)	1001	66592660.1808	549335.8351491202	66640944	67412799	67921087	64234686	68980081	87482850.7093	132935.14047785255	87456170	87761455	87973098	87276601	88305409	313859.3177	856.9715671928742	313830	315257	315791	311036	317743	1.3137883560259715	0.010771402719263698	1.313218391	1.331049671	1.341527649	1.268528562	1.361383956	0.004713433939060934	0.000040059194145904645	0.004713101	0.00478137	0.004816633	0.00456726	0.004887032
17	client	pqc	9.7-LibOQS	SPHINCS(2128)	1001	50300703.8891	326859.3803958789	50235042	50909894	51131383	49627277	51462821	102074630.5844	134835.13722960502	102073733	102290370	102370306	101713762	102457332	104577.4466	498.6962375941972	104574	105387	105949	102670	106593	2.029367677363636	0.012479045664890899	2.032627865	2.045998932	2.049546826	1.985822075	2.053452594	0.002079122488511491	0.000015449542130306563	0.002080565	0.002101169	0.002111573	0.002020764	0.002125536
17	server	pqc	9.7-LibOQS	SPHINCS(2128)	1001	93317918.998	632879.385743521	93315504	94371262	94873289	90305874	96522954	155578065.1299	169342.9224673808	155555636	155892746	156128016	155194795	156558968	298156.1888	826.3322475340556	298169	299587	300116	295576	301336	1.6672570999170835	0.011054422403763843	1.667224797	1.68437165	1.691740025	1.61177248	1.723203531	0.003195202634365633	0.000023146225623504412	0.003195308	0.003233035	0.003245745	0.003087752	0.003304347
18	client	pqc	9.7-LibOQS	SPHINCS(2256)	1001	127001034.3427	593206.8545990067	126918966	127998344	128580188	125800115	128938437	294786387.5095	152489.7484715506	294784748	295030624	295123648	294248914	295279892	111540.5764	731.0927235334786	111483	112662	114394	109031	115638	2.3211829887752287	0.010615495526899088	2.322830953	2.335903511	2.338651567	2.287172598	2.342632119	0.0008782816923076928	0.000006809741099280559	0.000878251	0.000888027	0.000902215	0.000860243	0.000909171
18	server	pqc	9.7-LibOQS	SPHINCS(2256)	1001	169627260.9421	753671.1662136095	169594519	170928177	171513908	166655524	172519205	348506154.1668	184797.39936071576	348481978	348865257	349093479	348065723	349398222	305952.0789	963.5167547921724	305866	307607	308910	301353	310551	2.0545808351198818	0.009050368558740644	2.054765587	2.068032179	2.074831259	2.019922674	2.092039745	0.0018037089450549445	0.000010018876424528716	0.001803386	0.00181972	0.001829144	0.001768841	0.001841955
19	client	pqc	9.7-LibOQS	ML-DSA(44)	1001	20263958.8551	235795.416341381	20227424	20710935	20960158	19655274	21397731	27394584.2158	388769.2521931321	27299323	28159465	28777672	26928505	29595627	104017.3307	479.54847883030055	104039	104738	105033	101204	105733	1.3518991239250744	0.012177832213134837	1.351757387	1.372521399	1.382438659	1.290668944	1.407183286	0.005133717157842153	0.000056043877871584195	0.005140033	0.005214191	0.005250968	0.004880938	0.005278051
19	server	pqc	9.7-LibOQS	ML-DSA(44)	1001	64231594.5305	557576.8611155958	64225105	65087299	65724416	61966345	66918312	82975538.998	395615.883241038	82876369	83774512	84276548	82438313	86447910	306953.039	870.1659275566489	306961	308381	308916	304136	310086	1.2918949837882123	0.010532282653076187	1.291687509	1.30833965	1.319890883	1.244855629	1.337005733	0.004779216499500505	0.000044651558377667356	0.004776315	0.004852055	0.004889183	0.004577969	0.004983527
2	client	classical	10.0p1-7	RSA(3072)	1001	46314283.2887	267676.2923570218	46303028	46739115	47007034	44737050	47738036	113233392.7143	164805.13265393805	113234505	113505047	113612387	112750486	113759168	161496.3447	2071.326758890028	161407	164999	166856	156188	170862	2.444967455585413	0.01361187438171402	2.445385641	2.464535835	2.476786551	2.369895434	2.522443165	0.0034870315094905147	0.00004531792211313489	0.00348572	0.003565962	0.003602328	0.003362781	0.003685969
2	server	classical	10.0p1-7	RSA(3072)	1001	110898332.3796	775190.176708104	110889617	112209297	112971014	108312356	114061030	199082783.0889	325667.7156248511	199057853	199643857	200011216	198230209	200392726	446081.8092	4049.500140085891	445841	452886	456859	437559	461328	1.795265622875128	0.012196322245453499	1.795313239	1.815066422	1.820498059	1.749541521	1.839309986	0.004022604525474521	0.00004332053859269989	0.004022021	0.0040939	0.004124261	0.003905184	0.004190311
20	client	pqc	9.7-LibOQS	ML-DSA(65)	1001	21163730.3876	371506.2303092954	21090217	21927962	22380476	20400236	23111577	29193354.1029	677542.316356687	28987127	30631908	31712860	28480068	33301280	107995.4905	672.7877779507141	108063	108898	109260	103640	109989	1.3793372106143855	0.015216809201667451	1.378090714	1.405886163	1.424938906	1.322882894	1.460668414	0.005104207870129873	0.00008253956086584864	0.00511889	0.005205721	0.00525125	0.004538507	0.005281646
20	server	pqc	9.7-LibOQS	ML-DSA(65)	1001	65767967.2158	605611.0073677812	65750161	66776971	67378773	63589034	68901179	86036769.9391	624539.3557031365	85851696	87271109	88056456	85314999	89634860	313978.2917	906.8361830128003	313974	315451	316116	310543	318446	1.3082511422727279	0.010671643661258308	1.307716223	1.326071914	1.334900783	1.268057283	1.358981471	0.004774428034965039	0.000045423044318448856	0.004774003	0.004846612	0.004883682	0.004567947	0.004923569
21	client	pqc	9.7-LibOQS	ML-DSA(87)	1001	21743004.3956	383048.9631448842	21664090	22428316	23020773	20999771	25172095	30671559.8851	677766.0506372723	30440226	32012839	33240865	29985757	35544714	109944.044	542.0675438226415	109944	110802	111441	107986	112251	1.4106027624825181	0.015212376416946831	1.409204898	1.43543221	1.451324727	1.267091396	1.482425633	0.005057872035964041	0.00007990424045878094	0.005072924	0.005165982	0.005200177	0.004403129	0.005231976
21	server	pqc	9.7-LibOQS	ML-DSA(87)	1001	66908715.7393	671255.8683344261	66878754	68033273	68707848	64788152	70247901	88598995.3666	676517.1720728617	88408807	89863075	91233722	87857837	93357857	319592.6344	881.9829262393903	319599	321024	321719	316560	323655	1.324256227732267	0.011596634748101716	1.323721431	1.34423405	1.352153287	1.283634026	1.361134869	0.004776999055944052	0.00004696948964950407	0.004778028	0.004852481	0.004887596	0.00457904	0.004949562
3	client	classical	9.2p1	RSA(4096)	1001	57031479.1598	248411.3964546944	57021879	57485051	57639307	56470923	57838589	151922354.8062	146523.7027551855	151918155	152158739	152266872	151453938	152354386	151702.3856	2173.4802992327436	151587	155533	157012	146583	159382	2.6638811905044943	0.011280084884638285	2.6640119	2.679879696	2.684599906	2.626048795	2.688891555	0.0026600073436563445	0.00003854556905035625	0.00265802	0.002728253	0.002752602	0.002553164	0.002798847
